Datum,Dienstbeschreibung,Dienst-ID,SKU-Beschreibung,SKU-ID,Nutzungsmenge,Nutzungseinheit,Listenkosten (€),Ausgehandelte Einsparungen (€),Sparprogramme (€),Andere Einsparungen (€),Ungerundete Zwischensumme (€),Zwischensumme (€)
"2026-09-09","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Grounding with Google Search on Gemini 3","SYNTHETIC-SKU-1","7","synthetic units","2,000000","0,00","0,00","0,00","2,000000","2,00"
"2026-09-09","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Gemini 3.8 Flash Global Text Input","SYNTHETIC-SKU-2","10","synthetic units","1,000000","0,00","0,00","0,00","1,000000","1,00"
"2026-09-09","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Gemini 3.8 Flash Global Text Output","SYNTHETIC-SKU-3","8","synthetic units","3,000000","0,00","0,00","0,00","3,000000","3,00"
"2026-09-09","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Gemini 3.8 Flash Global Text Input Caching","SYNTHETIC-SKU-4","5","synthetic units","0,500000","0,00","0,00","0,00","0,500000","0,50"
"2026-09-09","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Gemini 3.8 Flash Global Image Input","SYNTHETIC-SKU-5","2","synthetic units","0,250000","0,00","0,00","0,00","0,250000","0,25"
"2026-09-09","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Gemini 3.8 Flash Text Input Caching Storage","SYNTHETIC-SKU-6","1","synthetic units","0,100000","0,00","0,00","0,00","0,100000","0,10"
"2026-09-09","Cloud Run","SYNTHETIC-SERVICE-Cloud-Run","SYNTHETIC FIXTURE ONLY - Compute hours","SYNTHETIC-SKU-7","1","synthetic units","0,750000","0,00","0,00","0,00","0,750000","0,75"
"2026-09-10","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Grounding with Google Search on Gemini 3","SYNTHETIC-SKU-8","14","synthetic units","4,000000","0,00","0,00","0,00","4,000000","4,00"
"2026-09-10","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Grounding with Google Search on Gemini 3 refund","SYNTHETIC-SKU-9","-1","synthetic units","-1,000000","0,00","0,00","0,00","-1,000000","-1,00"
"2026-09-10","Gemini API","SYNTHETIC-SERVICE-Gemini-API","SYNTHETIC FIXTURE ONLY - Generate content output token count gemini 2.5 flash short input text","SYNTHETIC-SKU-10","3","synthetic units","1,500000","0,00","0,00","0,00","1,500000","1,50"
"2026-09-10","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Agent Platform Compute","SYNTHETIC-SKU-11","2","synthetic units","0,400000","0,00","0,00","0,00","0,400000","0,40"
"2026-09-10","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Embeddings for Text - Memory Bank","SYNTHETIC-SKU-12","2","synthetic units","0,200000","0,00","0,00","0,00","0,200000","0,20"
"2026-09-10","Cloud Storage","SYNTHETIC-SERVICE-Cloud-Storage","SYNTHETIC FIXTURE ONLY - Object storage","SYNTHETIC-SKU-13","1","synthetic units","0,300000","0,00","0,00","0,00","0,300000","0,30"
"2026-09-10","Vertex AI","SYNTHETIC-SERVICE-Vertex-AI","SYNTHETIC FIXTURE ONLY - Large Text Embedding Model","SYNTHETIC-SKU-14","1","synthetic units","0,100000","0,00","0,00","0,00","0,100000","0,10"
"","","","","","","","","","Zwischensumme","13,100000","13,10"
"","","","","","","","","","Steuer","0,000000","0,00"
"","","","","","","","","","Summe","13,100000","13,10"
