Datum,Nicht indexiert,Indexiert,Impressionen
2026-01-01,,,0
2026-01-02,,,0
2026-01-03,62,12,3
2026-01-04,59,15,2
2026-01-05,59,15,0
2026-01-06,59,15,0
2026-01-07,63,14,4
2026-01-08,63,14,3
2026-01-09,63,14,1
2026-01-10,63,14,0
2026-01-11,63,14,1
2026-01-12,63,14,0
2026-01-13,63,14,1
2026-01-14,64,14,1
2026-01-15,64,14,1
2026-01-16,64,14,2
2026-01-17,64,14,0
2026-01-18,62,15,0
2026-01-19,62,15,0
2026-01-20,62,15,0
2026-01-21,63,14,0
2026-01-22,63,14,0
2026-01-23,63,14,0
2026-01-24,63,14,1
2026-01-25,31,14,0
2026-01-26,31,14,0
2026-01-27,31,14,0
2026-01-28,31,14,0
2026-01-29,31,14,2
2026-01-30,31,14,0
2026-01-31,31,14,0
2026-02-01,31,14,1
2026-02-02,31,14,0
2026-02-03,31,14,0
2026-02-04,30,16,0
2026-02-05,30,16,0
2026-02-06,30,16,2
2026-02-07,30,16,0
2026-02-08,30,17,4
2026-02-09,30,17,1
2026-02-10,30,17,4
2026-02-11,30,17,2
2026-02-12,30,17,3
2026-02-13,30,17,2
2026-02-14,30,17,2
2026-02-15,30,17,0
2026-02-16,30,17,3
2026-02-17,30,17,3
2026-02-18,32,15,1
2026-02-19,32,15,3
2026-02-20,32,15,2
2026-02-21,32,15,3
2026-02-22,32,15,3
2026-02-23,32,15,4
2026-02-24,32,15,0
2026-02-25,105,17,2
2026-02-26,105,17,0
2026-02-27,105,17,2
2026-02-28,105,17,7
2026-03-01,105,17,2
2026-03-02,105,17,4
2026-03-03,105,17,0
2026-03-04,32,19,7
2026-03-05,32,19,3
2026-03-06,32,19,5
2026-03-07,32,19,9
2026-03-08,32,19,3
2026-03-09,32,19,5
2026-03-10,32,19,4
2026-03-11,31,22,5
2026-03-12,31,22,6
2026-03-13,31,22,4
2026-03-14,31,22,8
2026-03-15,31,22,5
2026-03-16,31,23,4
2026-03-17,31,23,5
2026-03-18,35,21,3
2026-03-19,35,21,10
2026-03-20,35,21,7
2026-03-21,35,21,1
2026-03-22,33,30,8
2026-03-23,33,30,51
2026-03-24,33,30,37
2026-03-25,34,30,96
2026-03-26,34,30,104
2026-03-27,34,30,51
2026-03-28,34,30,50
