Datum,Klicks,Impressionen,CTR,Position
2025-12-31,0,0,,
2026-01-01,0,0,,
2026-01-02,0,0,,
2026-01-03,0,3,0%,1
2026-01-04,0,2,0%,1
2026-01-05,0,0,,
2026-01-06,0,0,,
2026-01-07,0,4,0%,3
2026-01-08,0,3,0%,1
2026-01-09,0,1,0%,1
2026-01-10,0,0,,
2026-01-11,0,1,0%,1
2026-01-12,0,0,,
2026-01-13,0,1,0%,1
2026-01-14,0,1,0%,1
2026-01-15,0,1,0%,1
2026-01-16,0,2,0%,1
2026-01-17,0,0,,
2026-01-18,0,0,,
2026-01-19,0,0,,
2026-01-20,0,0,,
2026-01-21,0,0,,
2026-01-22,0,0,,
2026-01-23,0,0,,
2026-01-24,0,1,0%,11
2026-01-25,0,0,,
2026-01-26,0,0,,
2026-01-27,0,0,,
2026-01-28,0,0,,
2026-01-29,0,2,0%,1
2026-01-30,0,0,,
2026-01-31,0,0,,
2026-02-01,0,1,0%,20
2026-02-02,0,0,,
2026-02-03,0,0,,
2026-02-04,0,0,,
2026-02-05,0,0,,
2026-02-06,0,2,0%,1
2026-02-07,0,0,,
2026-02-08,0,4,0%,15.8
2026-02-09,0,1,0%,8
2026-02-10,0,4,0%,1.8
2026-02-11,0,2,0%,3.5
2026-02-12,0,3,0%,2
2026-02-13,0,2,0%,1
2026-02-14,0,2,0%,2.5
2026-02-15,0,0,,
2026-02-16,0,3,0%,4
2026-02-17,0,3,0%,5.7
2026-02-18,0,1,0%,9
2026-02-19,0,3,0%,4.3
2026-02-20,0,2,0%,2.5
2026-02-21,0,3,0%,7
2026-02-22,0,3,0%,1.3
2026-02-23,0,4,0%,1.8
2026-02-24,0,0,,
2026-02-25,0,2,0%,1
2026-02-26,0,0,,
2026-02-27,0,2,0%,6
2026-02-28,0,7,0%,2
2026-03-01,0,2,0%,2.5
2026-03-02,0,4,0%,1
2026-03-03,0,0,,
2026-03-04,0,7,0%,1.6
2026-03-05,0,3,0%,1
2026-03-06,0,5,0%,7.8
2026-03-07,0,9,0%,9.4
2026-03-08,0,3,0%,3.7
2026-03-09,0,5,0%,36.6
2026-03-10,0,4,0%,38.2
2026-03-11,0,5,0%,20.2
2026-03-12,1,6,16.67%,20.7
2026-03-13,2,4,50%,3.2
2026-03-14,0,8,0%,3
2026-03-15,0,5,0%,16.2
2026-03-16,0,4,0%,12.2
2026-03-17,0,5,0%,13.4
2026-03-18,0,3,0%,1
2026-03-19,0,10,0%,10.5
2026-03-20,1,7,14.29%,8.9
2026-03-21,0,1,0%,1
2026-03-22,0,8,0%,21.6
2026-03-23,0,51,0%,6.7
2026-03-24,0,37,0%,1.2
2026-03-25,0,96,0%,1.4
2026-03-26,0,104,0%,2
2026-03-27,0,51,0%,3.6
2026-03-28,0,50,0%,2.7
2026-03-29,1,49,2.04%,2.4
2026-03-30,0,40,0%,7
